formula
B0.815 Si0.06 Fe0.125 
B0.22 Al0.12 Ni0.66 
Mg0.2 Ca0.5 Cu0.25 Zn0.05 
Mg0.25 Ca0.4 Cu0.35 
Si0.15 Ti0.5 V0.35 
Mg0.7 Ni0.15 La0.15 
Al0.75 Co0.1 Ce0.15 
Al0.8 Nb0.05 Ce0.15 
Al0.5 V0.15 Ge0.35 
B0.24 Fe0.66 Ni0.1 
B0.24 Mn0.28 Co0.48 
Al0.6 Ni0.22 Zr0.18 
Be0.275 Al0.1 Ti0.3 Cu0.075 Zr0.25 
B0.18 Al0.08 Fe0.74 
B0.22 C0.08 Ni0.7 
B0.14 Al0.24 Ni0.62 
Mg0.364 Ca0.181 Cu0.455 
B0.175 Si0.095 Fe0.73 
B0.22 Al0.04 Fe0.74 
B0.24 Mn0.266 Co0.494 
B0.24 Mn0.265 Co0.495 
Al0.59 Ni0.24 Zr0.17 
Mg0.1 Ca0.7 Zn0.2 
Si0.1 Ti0.9 
Si0.16 Ti0.72 Fe0.12 
Mg0.6 Cu0.16 Y0.24 
B0.2 Cr0.3 Fe0.5 
B0.2 Si0.05 Fe0.75 
C0.15 Si0.15 Fe0.7 
Si0.15 Ti0.45 V0.4 
Al0.6 Ni0.2 Y0.2 
Al0.4 Ti0.2 Cu0.4 
Mg0.55 Cu0.4 Nd0.05 
B0.18 C0.12 Ni0.7 
Al0.52 V0.1 Ge0.38 
B0.22 Fe0.75 Zr0.03 
C0.22 Cr0.38 Co0.4 
B0.24 Mn0.24 Co0.52 
Si0.1 Ti0.85 V0.05 
Al0.25 Ti0.5 Ni0.25 
B0.2 Cr0.45 Co0.35 
Al0.57 Ni0.28 Zr0.15 
Mg0.65 Ni0.075 Cu0.075 Zn0.05 Y0.025 Ag0.05 Gd0.075 
B0.14 C0.16 Ni0.7 
Mg0.18 Ca0.55 Zn0.27 
B0.24 Mn0.23 Co0.53 
B0.24 Mn0.228 Co0.532 
B0.125 Si0.175 Fe0.7 
B0.225 Fe0.775 
B0.25 Cr0.075 Co0.675 
B0.24 Mn0.22 Co0.54 
B0.26 Fe0.37 Ni0.37 
B0.26 Co0.74 
B0.22 Si0.02 Fe0.76 
B0.15 Si0.13 Fe0.72 
B0.28 C0.04 Ni0.68 
B0.1 Ti0.7 Co0.2 
Mg0.7 Cu0.15 La0.15 
B0.2 Si0.1 Co0.7 
B0.1 C0.2 Ni0.7 
Mg0.15 Ca0.6 Zn0.25 
Si0.2 Ti0.65 Ni0.15 
B0.2 Cr0.25 Fe0.55 
B0.2 Si0.15 Ni0.65 
Si0.65 Ti0.1 Zr0.25 
Mg0.6 Ni0.3 La0.1 
B0.12 Si0.18 Fe0.7 
B0.24 Ti0.08 Co0.68 
B0.1920000000000001 Si0.04800000000000002 Fe0.6719999999999999 Nb0.040000000000000015 Tb0.04800000000000002 
B0.2 Fe0.7 Y0.03 Nb0.04 Hf0.03 
B0.24 Fe0.57 Ni0.19 
B0.15 Si0.125 Fe0.725 
Mg0.7 Ni0.15 Ag0.05 Gd0.1 
B0.19 P0.06 Fe0.75 
B0.25 Mn0.075 Co0.675 
Al0.75 Cu0.1 Ce0.15 
Mg0.635 Cu0.275 Gd0.09 
Si0.2 Ti0.64 Ni0.16 
B0.22 Ti0.16 Co0.62 
C0.22 Cr0.34 Co0.44 
B0.18 Al0.12 Co0.7 
B0.24 Si0.08 Ni0.68 
B0.28 Si0.03 Ni0.69 
Mg0.21 Al0.53 Pd0.26 
C0.175 Si0.15 Co0.675 
B0.22 Fe0.78 
Si0.55 Ti0.24 Zr0.21 
B0.19200000000000006 Si0.048000000000000015 Fe0.6816 Nb0.04 Tb0.0384 
B0.2 Fe0.71 Y0.02 Nb0.04 Hf0.03 
B0.17800000000000002 Si0.073 Fe0.7490000000000001 
Mg0.13 Ca0.6 Cu0.27 
Si0.1 Ti0.7 V0.2 
Al0.2 Ti0.6 Ni0.2 
B0.2 Cr0.2 Fe0.6 
B0.2 Mn0.6 Co0.2 
Al0.3 Ti0.4 Cu0.3 
Si0.3 Ti0.4 Ni0.3 
C0.175 P0.1 Fe0.725 
C0.125 Si0.175 Fe0.7 
Mg0.65 Ni0.05 Cu0.2 Gd0.1 
Al0.4 Ti0.1 Ni0.5 
Al0.6 Ni0.2 Zr0.2 
Al0.8 Ni0.05 Gd0.15 
Si0.15 Ti0.75 Ni0.1 
B0.2 Cr0.4 Co0.4 
B0.16 Si0.16 Co0.68 
Mg0.6 Ni0.3 Ce0.1 
B0.21 P0.04 Fe0.75 
B0.195 Cr0.245 Fe0.56 
B0.24 Mn0.152 Co0.608 
C0.22 Fe0.74 W0.04 
B0.24 Mn0.15 Co0.61 
B0.27 Fe0.185 Ni0.545 
B0.175 Si0.075 Fe0.75 
B0.28 C0.02 Ni0.7 
B0.17 C0.05 Fe0.78 
B0.19200000000000006 Si0.048000000000000015 Fe0.6912 Nb0.04 Tb0.0288 
B0.19993816345460166 Si0.03998763269092034 Fe0.7197773884365658 Y0.0003091827269916521 Nb0.03998763269092034 
B0.19991670137442727 Si0.03998334027488547 Fe0.7197001249479383 Y0.0004164931278633903 Nb0.03998334027488547 
B0.1999591920016323 Si0.03999183840032646 Fe0.7198530912058764 Y0.00020403999183840035 Nb0.03999183840032646 
B0.1999798000202 Si0.03999596000404 Fe0.7199272800727199 Y0.000100999899000101 Nb0.03999596000404 
B0.2 Fe0.72 Y0.01 Nb0.04 Hf0.03 
B0.16 Si0.1 Fe0.74 
Mg0.7 Cu0.15 Ce0.15 
Mg0.1 Ca0.65 Cu0.25 
B0.25 Fe0.7 Zr0.05 
B0.25 Fe0.05 Co0.7 
Mg0.6496580746975276 Ti0.0005260389268805891 Cu0.24986849026827984 Gd0.09994739610731193 
C0.125 Si0.225 Co0.65 
Mg0.775 Pd0.15 Yb0.075 
Mg0.65 Cu0.25 Gd0.1 
Mg0.6499343500656499 Cu0.24997475002525 Sn0.000100999899000101 Gd0.09998990001009997 
Mg0.6497990312274554 Cu0.2499227043182521 Sn0.0003091827269916521 Gd0.09996908172730083 
B0.18 Al0.16 Ni0.66 
C0.22 Cr0.3 Co0.48 
C0.2 Cr0.44 Co0.36 
B0.19200000000000006 Si0.048000000000000015 Fe0.7008 Nb0.04 Tb0.0192 
B0.2 Fe0.73 Nb0.04 Hf0.03 
Al0.57 Ni0.26 Zr0.17 
B0.21 Si0.12 Ni0.67 
Mg0.273 Ca0.318 Cu0.409 
Si0.1 Ti0.85 Ni0.05 
Mg0.15 Ca0.55 Cu0.3 
B0.1 Ti0.7 Ni0.2 
Al0.25 Ti0.5 Cu0.25 
B0.2 Cr0.15 Fe0.65 
B0.14 Al0.12 Fe0.74 
B0.1 Si0.2 Fe0.7 
B0.24 C0.04 Co0.72 
B0.25 Co0.75 
C0.2 Si0.1 Co0.7 
B0.23 Fe0.601 Ni0.16899999999999998 
B0.1920000000000001 Si0.04800000000000002 Fe0.7104 Nb0.040000000000000015 Tb0.0096 
Mg0.65 Cu0.25 Tb0.1 
Al0.75 Ni0.1 Nd0.15 
Al0.55 Ni0.3 Zr0.15 
Mg0.318 Ca0.227 Cu0.455 
Mg0.65 Cu0.15 Y0.04 Ag0.1 Gd0.06 
C0.2 Cr0.22 Fe0.58 
B0.22 Ti0.12 Co0.66 
B0.12 Si0.16 Fe0.72 
B0.28 Ni0.72 
B0.24 Mn0.08 Co0.68 
B0.24 Mn0.076 Co0.684 
B0.2 Mn0.515 Co0.285 
B0.125 Si0.15 Fe0.725 
C0.15 Si0.175 Co0.675 
B0.19200000000000006 Si0.048000000000000015 Fe0.72 Nb0.04 
B0.21 Fe0.79 
B0.15 Si0.105 Fe0.745 
B0.27 Si0.03 Ni0.7 
Si0.05 Ti0.95 
Mg0.7 Ni0.15 Nd0.15 
Mg0.25 Ca0.35 Cu0.4 
Al0.2 Ti0.6 Cu0.2 
Si0.2 Ti0.6 Ni0.2 
C0.18 Cr0.4 Fe0.42 
B0.2 Ti0.05 Fe0.75 
B0.2 Cr0.1 Fe0.7 
B0.2 Mn0.2 Fe0.6 
C0.2 Cr0.4 Co0.4 
C0.22 Cr0.26 Co0.52 
Mg0.6 Cu0.3 La0.1 
C0.1 Si0.2 Fe0.7 
Al0.62 Ni0.28 La0.1 
Mg0.7 Cu0.21 Au0.09 
Al0.5 V0.1 Ge0.4 
Mg0.6 Ni0.3 Nd0.1 
Mg0.19 Ca0.47 Cu0.27 Zn0.07 
B0.2 Mn0.18 Fe0.62 
C0.15 P0.125 Fe0.725 
B0.2 Si0.075 Co0.725 
B0.2 Cr0.04 Fe0.76 
B0.2 Cr0.08 Fe0.72 
B0.2 Mn0.16 Fe0.64 
B0.2 Mn0.48 Co0.32 
B0.2 C0.08 Ni0.72 
Mg0.57 Cu0.31 Y0.066 Nd0.054000000000000006 
B0.2 V0.05 Fe0.75 
B0.147 Si0.098 Fe0.735 Nb0.02 
B0.15 Si0.1 Fe0.75 
B0.14400000000000002 Si0.09600000000000003 Fe0.72 Nb0.04 
Al0.35 Ti0.25 Cu0.4 
Mg0.65 Cu0.25 Dy0.1 
B0.1485 Si0.099 Fe0.7425 Nb0.01 
B0.192 Si0.048 Fe0.648 Co0.07200000000000001 Nb0.04 
B0.2 Mn0.14 Fe0.66 
B0.14 C0.07 Fe0.79 
B0.19 Si0.14 Ni0.67 
Be0.18 Ti0.55 Ni0.08 Cu0.09 Zr0.1 
B0.2 Fe0.77 Mo0.03 
C0.175 P0.075 Fe0.75 
C0.18 Cr0.36 Fe0.46 
B0.2 Cr0.06 Fe0.74 
B0.12 C0.09 Fe0.79 
B0.14 Al0.16 Co0.7 
B0.15 Si0.097 Fe0.753 
B0.2 Cr0.025 Fe0.775 
Mg0.615 Cu0.295 Gd0.09 
Mg0.1 Ca0.65 Zn0.25 
Si0.15 Ti0.7 Ni0.15 
B0.2 Cr0.05 Fe0.75 
B0.2 Mn0.1 Fe0.7 
B0.2 Cr0.3 Co0.5 
Al0.7 Fe0.15 Ce0.15 
Mg0.7 Y0.1 Ag0.2 
Si0.6 Ti0.15 Zr0.25 
Si0.15 Ti0.8 Zr0.05 
Mg0.69 Ni0.15 Ag0.06 Gd0.1 
Al0.5 Ni0.4 Zr0.1 
Be0.2 Mg0.24 Ti0.1 Ni0.08 Cu0.08 Y0.04 Zr0.26 
B0.25 Fe0.5605 Co0.13449999999999998 Nb0.055 
Al0.69 Ni0.17 La0.14 
B0.2 Fe0.78 Mo0.02 
Mg0.19 Ca0.45 Cu0.36 
B0.2 Mn0.08 Fe0.72 
C0.2 Cr0.36 Co0.44 
B0.24 Fe0.38 Ni0.38 
B0.24 Co0.76 
B0.2 Si0.12 Ni0.68 
B0.175 Si0.05 Fe0.775 
B0.2 Mn0.435 Co0.365 
B0.192 Si0.048 Fe0.5760000000000001 Co0.14400000000000002 Nb0.04 
B0.2 Mn0.06 Fe0.74 
B0.22 Al0.08 Ni0.7 
B0.2 Mn0.43 Co0.37 
B0.2 Mn0.05 Fe0.75 
Mg0.7 Cu0.15 Nd0.15 
Al0.77 Fe0.05 Ce0.18 
B0.15 Si0.15 Co0.7 
Mg0.65 Cu0.25 Ho0.1 
Si0.15 Ti0.8 Nb0.05 
B0.2 Cr0.01 Fe0.79 
C0.18 Cr0.32 Fe0.5 
B0.22 Ti0.08 Co0.7 
B0.17 P0.06 Fe0.77 
B0.26 Al0.04 Ni0.7 
B0.225 Si0.075 Ni0.7 
C0.125 Si0.2 Co0.675 
B0.2 Fe0.795 Cu0.005 
C0.18 Cr0.48 Co0.34 
B0.14 Al0.2 Ni0.66 
B0.23 Fe0.462 Ni0.308 
Mg0.63 Cu0.27 Gd0.1 
Mg0.6 Cu0.1 Y0.3 
C0.18 Cr0.3 Fe0.52 
B0.1 Si0.175 Fe0.725 
Mg0.15 Ca0.55 Zn0.3 
Si0.1 Ti0.8 Ni0.1 
P0.2 Ti0.6 Ni0.2 
B0.2 Fe0.8 
B0.2 Ti0.16 Co0.64 
B0.2 Mn0.4 Co0.4 
Al0.8 La0.2 
B0.16 C0.08 Co0.76 
Al0.5 Mn0.1 Ge0.4 
Al0.1 Ti0.8 Cu0.1 
B0.192 Si0.048 Fe0.5760000000000001 Co0.07200000000000001 Ni0.07200000000000001 Nb0.04 
B0.1920000000000001 Si0.04800000000000002 Fe0.504 Co0.21600000000000003 Nb0.040000000000000015 
B0.18 Cr0.2 Fe0.62 
B0.1 Al0.16 Fe0.74 
Al0.82 Sm0.18 
B0.175 Cr0.25 Fe0.575 
B0.2 Mn0.385 Co0.415 
B0.13 Si0.12 Fe0.75 
C0.2 Fe0.76 W0.04 
B0.1475 Si0.1475 Co0.705 
C0.2 Cr0.32 Co0.48 
B0.22 C0.05 Ni0.73 
B0.12 C0.12 Co0.76 
C0.18 Cr0.28 Fe0.54 
B0.19 Fe0.77 Nd0.04 
C0.125 P0.15 Fe0.725 
Al0.25 Ti0.4 Ni0.35 
Al0.25 Ti0.45 Cu0.3 
B0.2 Fe0.75 Co0.05 
B0.2 Cr0.25 Co0.55 
B0.15 C0.05 Fe0.8 
Al0.7 Ni0.15 La0.15 
Mg0.65 Cu0.25 Er0.1 
Al0.75 Ni0.1 Sm0.15 
Al0.61 Ni0.29 Ce0.1 
B0.24 Fe0.568 Co0.142 Nb0.05 
B0.067 C0.069 Al0.021 Si0.025 P0.08800000000000001 Cr0.022 Fe0.6829999999999999 Mo0.025 
Mg0.227 Ca0.364 Cu0.409 
B0.13 C0.07 Fe0.8 
B0.125 Si0.125 Fe0.75 
Mg0.7685370741482965 Ag0.15430861723446893 Yb0.07715430861723446 
B0.122 Si0.13 Fe0.748 
C0.18 Cr0.26 Fe0.56 
B0.2 Mn0.36 Co0.44 
Mg0.645 Cu0.245 Gd0.11 
B0.215 Fe0.585 Ni0.2 
B0.19 Fe0.78 Zr0.03 
B0.11 C0.09 Fe0.8 
B0.19200000000000006 Si0.048000000000000015 Fe0.432 Co0.28800000000000003 Nb0.04 
B0.19008000000000005 Si0.047520000000000014 Cr0.010000000000000002 Fe0.42768 Co0.2851200000000001 Nb0.0396 
B0.18624000000000002 Si0.046560000000000004 Cr0.03 Fe0.41904 Co0.27936000000000005 Nb0.0388 
B0.192 Si0.048 Fe0.432 Co0.28800000000000003 Nb0.04 
B0.18432 Si0.04608 Cr0.04 Fe0.4147199999999999 Co0.27648 Nb0.03839999999999999 
B0.18816 Si0.047040000000000005 Cr0.020000000000000004 Fe0.42336 Co0.2822400000000001 Nb0.039200000000000006 
B0.26 C0.02 Ni0.72 
C0.18 Cr0.44 Co0.38 
B0.2 Fe0.75 Ni0.05 
C0.15 P0.1 Fe0.75 
Al0.4 Ti0.1 Cu0.5 
Si0.2 Ti0.55 Ni0.25 
B0.2 Fe0.7 Co0.1 
B0.1 C0.1 Fe0.8 
Mg0.6 Cu0.3 Nd0.1 
Al0.6 Ni0.3 La0.1 
B0.15 C0.12 Ni0.73 
B0.09 C0.11 Fe0.8 
Mg0.273 Ca0.272 Cu0.455 
B0.12 Si0.13 Fe0.75 
B0.18 Al0.08 Co0.74 
B0.185 Fe0.77 Nd0.045 
B0.18 Cr0.14 Fe0.68 
B0.23 Fe0.385 Ni0.385 
B0.2 Fe0.75 Cu0.05 
B0.2 Mn0.325 Co0.475 
B0.2 Si0.05 Co0.75 
Al0.55 Ni0.25 Y0.2 
Mg0.65 Ni0.2 La0.15 
B0.15 Si0.075 Fe0.775 
C0.175 P0.05 Fe0.775 
B0.22 Al0.04 Co0.74 
B0.2 Mn0.32 Co0.48 
C0.2 Cr0.28 Co0.52 
B0.15 P0.08 Fe0.77 
B0.192 Si0.048 Fe0.36 Co0.36 Nb0.04 
B0.19200000000000006 Si0.048000000000000015 Fe0.36 Co0.36 Nb0.04 
C0.1 Si0.225 Co0.675 
B0.22 Fe0.72 Y0.05 W0.01 
B0.17 Si0.15 Ni0.68 
B0.185 Fe0.785 Nd0.03 
B0.05 C0.05 Al0.05 Si0.03 P0.1 Fe0.7 Ga0.02 
Al0.2 Ti0.5 Ni0.3 
Be0.5 Zr0.5 
B0.22 Fe0.68 Co0.04 Y0.06 
B0.2 Fe0.6 Co0.2 
B0.2 Cr0.2 Co0.6 
Si0.3 Ti0.3 Ni0.4 
B0.1 Al0.2 Co0.7 
Al0.7 Ni0.15 Ce0.15 
Al0.35 Ti0.2 Cu0.45 
Si0.15 Ti0.65 Ni0.2 
B0.2 Fe0.7 Ni0.1 
B0.2 Ti0.12 Co0.68 
Al0.6 Ni0.3 Ce0.1 
B0.24 Fe0.5579999999999999 Co0.142 Nb0.06 
B0.19 Fe0.81 
B0.15 Si0.07 Fe0.78 
Mg0.7 Ni0.12 La0.18 
B0.18 Cr0.1 Fe0.72 
B0.26 Ni0.74 
C0.18 Cr0.4 Co0.42 
B0.14 Al0.08 Fe0.78 
B0.2 Mn0.28 Co0.52 
B0.22 Fe0.69 Ni0.03 Y0.06 
Mg0.68 Ni0.15 Ag0.07 Gd0.1 
Mg0.15 Ca0.5 Cu0.25 Zn0.1 
Mg0.25 Ca0.3 Cu0.45 
Mg0.75 Cu0.05 Ce0.2 
C0.175 Si0.15 Ni0.675 
B0.055 C0.05 P0.12 Cr0.04 Fe0.655 Ga0.04 Mo0.04 
B0.19200000000000006 Si0.048000000000000015 Fe0.28800000000000003 Co0.432 Nb0.04 
B0.145 Si0.075 Fe0.78 
B0.18 Al0.12 Ni0.7 
B0.14 C0.05 Fe0.81 
B0.18 Al0.04 Fe0.78 
B0.23 Fe0.71 Nb0.06 
C0.1 P0.175 Fe0.725 
B0.15 Si0.125 Co0.725 
B0.2 C0.06 Ni0.74 
C0.18 Cr0.38 Co0.44 
B0.22 Fe0.73 Zr0.05 
B0.12 C0.07 Fe0.81 
C0.2 Cr0.24 Co0.56 
B0.16 Si0.16 Ni0.68 
B0.22 Fe0.7 Co0.02 Y0.06 
B0.16 P0.05 Fe0.79 
B0.205 Fe0.595 Ni0.2 
Si0.1 Ti0.75 Ni0.15 
Mg0.7 Y0.05 Ag0.25 
C0.125 Si0.225 Ni0.65 
B0.1 C0.09 Fe0.81 
B0.14 Si0.08 Fe0.78 
B0.2 Fe0.5 Co0.3 
B0.2 Fe0.7 Cu0.1 
B0.1 Si0.15 Fe0.75 
Al0.3 Ti0.3 Cu0.4 
Mg0.57 Cu0.34 Nd0.09 
Si0.55 Ti0.2 Zr0.25 
B0.22 Si0.06 Ni0.72 
Al0.45 V0.15 Ge0.4 
B0.25 Si0.025 Ni0.725 
B0.18 C0.03 Fe0.79 
B0.19 Fe0.76 Ni0.05 
B0.185 Fe0.815 
Al0.2 Ti0.48 Ni0.32 
B0.16 C0.1 Ni0.74 
B0.18 Cr0.05 Fe0.77 
B0.2 Mn0.24 Co0.56 
B0.22 Fe0.71 Ni0.01 Y0.06 
C0.125 P0.125 Fe0.75 
Mg0.61 Cu0.29 Gd0.1 
B0.17 Si0.14 Ni0.69 
B0.1920000000000001 Si0.04800000000000002 Fe0.21600000000000003 Co0.504 Nb0.040000000000000015 
B0.16 Mn0.67 Co0.17 
B0.2 Mn0.23 Co0.57 
B0.18 C0.02 Fe0.8 
Al0.15 Ti0.6 Ni0.25 
B0.2 Cr0.15 Co0.65 
B0.11 P0.14 Fe0.75 
C0.2 Si0.05 Co0.75 
Al0.7 Cu0.15 Ce0.15 
B0.25 Fe0.05 Ni0.7 
Al0.75 Ni0.1 Gd0.15 
B0.22 Fe0.72 Y0.06 
B0.12 Si0.11 Fe0.77 
B0.22 Fe0.39 Ni0.39 
B0.22 Co0.78 
B0.175 Fe0.78375 Nd0.04125 
B0.13 P0.1 Fe0.77 
C0.15 P0.075 Fe0.775 
B0.175 Si0.075 Co0.75 
B0.125 Si0.1 Fe0.775 
B0.18 Fe0.81 Cu0.01 
B0.16 V0.15 Fe0.69 
B0.15 P0.06 Fe0.79 
B0.21 Si0.07 Ni0.72 
B0.2 Ti0.08 Co0.72 
Mg0.1 Ca0.6 Zn0.3 
Si0.05 Ti0.85 Ni0.1 
C0.16 Cr0.48 Co0.36 
Al0.25 Ti0.4 Cu0.35 
C0.18 Cr0.34 Co0.48 
B0.2 Mn0.2 Co0.6 
B0.2 Cr0.3 Ni0.5 
B0.1 Si0.2 Co0.7 
C0.2 Si0.1 Ni0.7 
Mg0.5 Ni0.3 Y0.2 
Si0.2 Ti0.5 Ni0.3 
P0.2 Cr0.8 
B0.16 Mn0.64 Co0.2 
B0.2 Fe0.6 Ni0.2 
B0.2 Fe0.4 Co0.4 
B0.18 Fe0.815 Cu0.005 
Al0.71 Fe0.12 Ce0.17 
Al0.31 Ti0.19 Ni0.5 
B0.192 Si0.048 Fe0.14400000000000002 Co0.5760000000000001 Nb0.04 
B0.16 Mn0.63 Co0.21 
B0.18 Fe0.82 
B0.14 Si0.07 Fe0.79 
B0.22 Fe0.66 Co0.06 Y0.06 
Mg0.182 Ca0.409 Cu0.409 
Mg0.625 Cu0.265 Gd0.11 
B0.175 Si0.025 Fe0.8 
B0.22 Fe0.64 Co0.08 Y0.06 
B0.16 Cr0.2 Fe0.64 
B0.18 Ti0.16 Co0.66 
B0.14 Al0.12 Co0.74 
Sc0.75 Fe0.25 
B0.15 Cr0.3 Fe0.55 
B0.15 Si0.05 Fe0.8 
B0.24 C0.04 Ni0.72 
C0.15 Si0.175 Ni0.675 
C0.18 Fe0.78 W0.04 
B0.22 Fe0.67 Ni0.05 Y0.06 
B0.22 Fe0.62 Co0.1 Y0.06 
B0.075 Si0.18 Fe0.745 
Si0.13 P0.13 Mn0.74 
B0.1 Si0.09 P0.05 Fe0.76 
B0.135 Si0.135 Co0.73 
Mg0.227 Ca0.318 Cu0.455 
B0.22 Fe0.6 Co0.12 Y0.06 
B0.12 Si0.1 Fe0.78 
B0.2 Mn0.16 Co0.64 
B0.2 Si0.08 Ni0.72 
B0.17 Fe0.79 Co0.04 
B0.192 Si0.048 Fe0.07200000000000001 Co0.648 Nb0.04 
B0.16 Mn0.595 Co0.245 
B0.11 C0.07 Fe0.82 
B0.14 P0.07 Fe0.79 
Mg0.11 Ca0.55 Cu0.23 Zn0.11 
Mg0.17647058823529413 Ca0.4117647058823529 Cu0.4117647058823529 
B0.125 Si0.09 Fe0.785 
Mg0.05 Ca0.65 Cu0.3 
Si0.15 Ti0.6 Ni0.25 
Al0.2 Ti0.5 Cu0.3 
B0.2 Cr0.1 Co0.7 
C0.075 P0.2 Fe0.725 
Mg0.75 Pd0.175 Yb0.075 
C0.1 Si0.25 Ni0.65 
B0.22 Fe0.58 Co0.14 Y0.06 
B0.16 Mn0.59 Co0.25 
B0.15 P0.05 Fe0.8 
Mg0.65 Cu0.2 Ce0.15 
B0.2 Fe0.3 Co0.5 
Al0.7 Ni0.15 Nd0.15 
B0.17 Si0.035 Fe0.795 
B0.09 C0.09 Fe0.82 
B0.17 C0.03 Fe0.8 
B0.18 Fe0.77 Ni0.05 
Si0.2 Ti0.48 Ni0.32 
C0.18 Cr0.3 Co0.52 
B0.22 Fe0.56 Co0.16 Y0.06 
B0.05 C0.07 Si0.033 P0.087 Fe0.72 Ga0.04 
B0.175 Fe0.825 
B0.075 Si0.175 Fe0.75 
Mg0.65 Ni0.075 Cu0.075 Zn0.05 Ag0.05 Gd0.1 
B0.17 C0.08 Ni0.75 
B0.17 Cr0.025 Fe0.805 
B0.16 Mn0.57 Co0.27 
B0.16 V0.1 Fe0.74 
B0.1 Al0.12 Fe0.78 
Mg0.48 Cu0.37 Y0.15 
Mg0.1 Ca0.55 Cu0.35 
B0.15 Cr0.25 Fe0.6 
Al0.65 Fe0.2 Ce0.15 
C0.1 P0.15 Fe0.75 
Mg0.6 Cu0.25 Zn0.05 Gd0.1 
Al0.35 Ti0.15 Cu0.5 
B0.17 Fe0.81 Co0.02 
B0.16 Cr0.14 Fe0.7 
B0.2 Cr0.08 Co0.72 
B0.18 Fe0.77 Cu0.05 
B0.13 C0.12 Ni0.75 
B0.17 Fe0.815 Cu0.015 
B0.14 Al0.16 Ni0.7 
B0.13 P0.08 Fe0.79 
Si0.23 P0.03 Mn0.74 
B0.17 Fe0.82 Co0.01 
Si0.1 Ti0.7 Ni0.2 
Al0.15 Ti0.6 Cu0.25 
B0.14 Mn0.66 Fe0.2 
Mg0.75 Ni0.05 Nd0.2 
B0.2 Fe0.2 Co0.6 
B0.2 Fe0.5 Ni0.3 
Mg0.55 Ni0.35 Nd0.1 
B0.315 Fe0.2 Co0.43 Ta0.055 
B0.15 Si0.1 Co0.75 
B0.1 C0.15 Ni0.75 
Si0.16 Ti0.56 Ni0.28 
C0.14 Cr0.4 Fe0.46 
B0.14 P0.06 Fe0.8 
Mg0.65 Ni0.2 Nd0.15 
B0.1 Si0.125 Fe0.775 
B0.2 Cr0.25 Ni0.55 
C0.125 P0.1 Fe0.775 
B0.05 C0.07 Si0.033 P0.087 Fe0.74 Ga0.02 
B0.09 Cr0.85 Fe0.06 
B0.19 Fe0.61 Ni0.2 
B0.2 C0.04 Co0.76 
Mg0.65 Cu0.15 Y0.02 Ag0.1 Gd0.08 
B0.18 Fe0.72 Ni0.1 
B0.17 Fe0.83 
B0.02 C0.1 P0.12 Fe0.71 Nb0.01 Mo0.04 
B0.05 C0.07 Si0.033 P0.087 Fe0.75 Ga0.01 
Al0.2 Ti0.48 Cu0.32 
B0.16 Cr0.1 Fe0.74 
B0.18 Ti0.12 Co0.7 
B0.2 Mn0.08 Co0.72 
B0.08 Ti0.62 Ni0.3 
C0.18 Cr0.26 Co0.56 
C0.16 Cr0.4 Co0.44 
C0.15 P0.05 Fe0.8 
B0.05 C0.2 Ni0.75 
B0.15 Cr0.2 Fe0.65 
C0.125 Si0.2 Ni0.675 
B0.16 Mn0.51 Co0.33 
B0.23 Fe0.123 Ni0.647 
Mg0.59 Cu0.31 Gd0.1 
B0.125 Si0.075 Fe0.8 
Mg0.75 Ag0.175 Yb0.075 
B0.05 C0.07 Si0.033 P0.087 Fe0.76 
B0.12 C0.05 Fe0.83 
Mg0.61 Cu0.28 Gd0.11 
Al0.6 Ni0.28 La0.12 
B0.24 Ni0.76 
B0.165 Fe0.82 Sn0.015 
B0.16 V0.05 Fe0.79 
B0.12 P0.09 Fe0.79 
B0.17 Fe0.77 Co0.06 
B0.09 Si0.135 Fe0.775 
B0.13 Si0.18 Ni0.69 
B0.16 C0.04 Fe0.8 
Mg0.1 Ca0.6 Ga0.3 
Si0.05 Ti0.8 Ni0.15 
Al0.1 Ti0.7 Cu0.2 
Mg0.5 Cu0.3 Y0.2 
Si0.2 Ti0.45 Ni0.35 
B0.16 Cr0.07 Fe0.77 
B0.16 Mn0.49 Co0.35 
B0.2 Fe0.75 Zr0.05 
B0.1 C0.07 Fe0.83 
B0.13 P0.07 Fe0.8 
B0.2 Fe0.1 Co0.7 
Si0.5 Ti0.25 Zr0.25 
B0.22 Fe0.7 Zr0.08 
B0.17 Fe0.755 Co0.075 
B0.14 P0.05 Fe0.81 
B0.35 Co0.58 Ta0.07 
B0.08 C0.09 Fe0.83 
B0.12 Si0.08 Fe0.8 
B0.18 Fe0.67 Ni0.15 
B0.18 Fe0.72 Cu0.1 
B0.16 Ti0.0336 Fe0.8064 
Be0.275 Al0.05 Ti0.3 Cu0.075 Zr0.3 
B0.192 Si0.048 Fe0.28800000000000003 Ni0.4319999999999999 Nb0.04 
B0.17 Fe0.73 Co0.1 
B0.05825242718446603 C0.14563106796116504 Cr0.03883495145631068 Mn0.0970873786407767 Fe0.5922330097087378 Mo0.05825242718446603 Er0.009708737864077669 
B0.16 C0.03 Fe0.81 
Al0.15384615384615385 Si0.15384615384615385 Cr0.15384615384615385 Fe0.15384615384615385 Co0.15384615384615385 Ni0.15384615384615385 Cu0.07692307692307693 
B0.14 Cr0.26 Fe0.6 
B0.16 Cr0.05 Fe0.79 
